iter	Passed	Remaining
0	5	11926
1	11	11283
2	16	10658
3	21	10555
4	26	10713
5	31	10443
6	36	10401
7	44	10985
8	48	10833
9	54	10820
10	59	10723
11	63	10542
12	68	10465
13	72	10271
14	76	10100
15	80	9961
16	85	9921
17	89	9805
18	92	9687
19	97	9692
20	102	9631
21	106	9565
22	110	9511
23	115	9547
24	120	9538
25	125	9558
26	134	9829
27	140	9917
28	147	10025
29	152	10028
30	158	10042
31	166	10239
32	173	10333
33	181	10469
34	188	10582
35	196	10743
36	203	10816
37	211	10912
38	217	10933
39	222	10887
40	226	10841
41	231	10797
42	237	10789
43	243	10834
44	249	10834
45	254	10831
46	260	10816
47	265	10804
48	271	10797
49	276	10795
50	282	10783
51	288	10802
52	293	10800
53	298	10771
54	304	10767
55	310	10761
56	314	10734
57	319	10712
58	324	10684
59	329	10653
60	335	10652
61	340	10655
62	346	10644
63	353	10702
64	359	10707
65	365	10717
66	371	10721
67	376	10711
68	382	10715
69	389	10732
70	394	10731
71	402	10789
72	407	10763
73	413	10769
74	420	10793
75	426	10800
76	432	10812
77	438	10813
78	445	10827
79	453	10884
80	461	10943
81	470	11001
82	475	10985
83	480	10959
84	486	10953
85	499	11106
86	503	11080
87	510	11102
88	517	11122
89	523	11120
90	530	11121
91	536	11120
92	542	11122
93	547	11100
94	553	11091
95	558	11082
96	564	11068
97	569	11044
98	574	11040
99	580	11024
100	584	10991
101	590	10986
102	595	10961
103	599	10933
104	606	10939
105	611	10926
106	616	10914
107	623	10921
108	628	10899
109	633	10890
110	640	10902
111	647	10907
112	654	10928
113	660	10923
114	668	10959
115	675	10966
116	682	10988
117	690	11016
118	701	11090
119	709	11111
120	717	11143
121	723	11131
122	728	11119
123	734	11119
124	740	11102
125	745	11088
126	750	11072
127	757	11073
128	763	11072
129	770	11076
130	775	11060
131	781	11053
132	787	11054
133	792	11034
134	798	11030
135	803	11013
136	808	11000
137	815	11003
138	820	10988
139	826	10979
140	831	10966
141	836	10942
142	841	10930
143	846	10915
144	851	10895
145	856	10878
146	861	10861
147	866	10841
148	871	10827
149	877	10821
150	882	10805
151	888	10797
152	893	10787
153	898	10768
154	903	10753
155	908	10733
156	912	10707
157	916	10689
158	925	10710
159	931	10713
160	939	10726
161	950	10778
162	965	10880
163	974	10909
164	984	10944
165	994	10988
166	1010	11089
167	1025	11180
168	1038	11247
169	1049	11293
170	1058	11325
171	1072	11401
172	1084	11450
173	1094	11481
174	1102	11498
175	1113	11540
176	1133	11669
177	1141	11686
178	1151	11712
179	1161	11748
180	1171	11769
181	1180	11790
182	1188	11799
183	1196	11806
184	1204	11814
185	1213	11835
186	1222	11850
187	1231	11866
188	1238	11870
189	1247	11879
190	1255	11890
191	1263	11896
192	1271	11906
193	1278	11901
194	1285	11896
195	1292	11896
196	1298	11887
197	1305	11881
198	1312	11878
199	1318	11869
200	1325	11864
201	1331	11852
202	1338	11848
203	1344	11836
204	1352	11838
205	1358	11828
206	1365	11824
207	1372	11824
208	1378	11811
209	1385	11810
210	1392	11802
211	1399	11802
212	1405	11793
213	1411	11783
214	1418	11780
215	1426	11779
216	1433	11779
217	1440	11772
218	1447	11774
219	1455	11775
220	1463	11782
221	1470	11777
222	1478	11781
223	1486	11786
224	1495	11795
225	1503	11802
226	1511	11805
227	1519	11813
228	1529	11826
229	1537	11830
230	1547	11851
231	1558	11873
232	1565	11873
233	1573	11873
234	1581	11876
235	1588	11872
236	1595	11870
237	1602	11863
238	1609	11861
239	1617	11858
